bit; A binary digit, the smallest unit of data in a computer. Takes on the value of either 0 or 1.
byte; A unit of data made up of 8 bits.
computer; A device that can receive data, process data according to a sequence of instructions and produce the processed data as a result.
computer architecture; A description of how a computer is designed and built to function, including how its parts are designed, organised and connected.
data; Information that is used in a computer program.
gibibyte; 1024^3 bytes
gigabyte; 10^9 bytes
kibibyte; 1024 bytes
kilobyte; 1000 bytes
megabyte; 10^6 bytes
mebibyte; 1024^2 bytes
tebibyte; 1024^4 bytes
terabyte; 10^12 bytes
address; A number used to locate a byte in the memory
address bus; A hardware component that transfers the required memory location from processor to memory: it is uni-directional.
arithmetic logic unit; The part of the processor that processes data by performing basic mathematical and logical operations.
bus; A collection of wires that transport data from one part of a computer to another.
central processing unit; A hardware component that processes data and follows instructions, consisting of an ALU and CU.
control unit; The part of the processor that follows instructions and decides when data should be stored, received or transmitted by different parts of the computer.
data bus; A hardware component that transfers data between memory and processor: it is bi-directional.
executes; Another word for when a processor 'runs' instructions, aka: Following or performing said instructions.
hard disk; Secondary storage where data is stored on rigid rotating disks coated with magnetic material.
input; Data or instructions that the computer receives for processing.
input device; A hardware device that allows users to enter data and instructions into a computer. Examples are keyboards, mice, scanners, touch screens and microphones.
magnetic; A type of drive stores data on a magnetic material that can be read or written by a magnetic head. An example is a hard disk.
memory; Something that stores data, instructions and the results of processing for immediate use in a computer.
optical; A type of drive that stores data as very small pits/indendations that can be read or written by a laser. Example: Digital Versatile Disc (DVD).
output; Intermediate or final results produced by the computer in the form of processed data.
output device; A hardware device used to display, project or print processed data from a computer so that it can be used or understood by people using the computer. Examples are monitors, speakers and printers.
processor registers; Extremely fast but small data storage spaces that are used directly by the ALU and control unit. They are physically located inside the processor that cannot be changed without changing the processor.
random access memory; A type of memory where data and instructions are stored temporarily so that they can be quickly accessed by the processor when needed, aka 'main memory'.
read-only memory; Memory where data and instructions that rarely need to change or would be needed for a computer to start up are stored. Data stored cannot be easily changed and remains there regardless of whether the power supply is switched on or off.
secondary storage; A type of memory stores large amounts of data that will not be lost when the power supply is interrupted.
software; A series of instructions, also known as a 'program'.
solid-state; A type of drive stores data in electronic circuits called “flash memory” that have no moving parts. Examples include memory cards.
volatile; Data that is lost once the power supply to the computer is interrupted.

algorithm; A set of step-by-step instructions for solving a problem.
decomposition; The technique of breaking down a complex problem or process into smaller and more manageable parts.
generalisation; The technique of replacing two or more similar problems or solutions with a single, more general problem or solution.
incremental approach; An approach to solving a problem in which quantitative features of the input or output that are causing the problem to be too large to handle are identified. Sometimes, the solution to a small version of the problem with one or more of these features reduced can be found and gradually extended to larger versions of the problem. Each gradual extension of the solution is a separate sub-problem.
input; Data used by an algorithm that can affect what is required for correct output.
modular approach; An approach to solving a problem in which simple examples of the problem are solved manually and tasks of different natures are identified. Usually, these tasks can be separated from each other to become distinct sub-problems.
output; Results produced by an algorithm.
pattern recognition; The technique of identifying similarities among two or more items.
solution; The algorithm that always gives correct outputs when provided with valid inputs.
sub-problem; A problem whose solution contributes to the solution of a bigger problem.

branch; A sequence of instructions that serves as one option out of two or more choices.
